crop,disease,disease_status,causal_agent,symptoms,chemical_solutions,biological_solutions,cultural_solutions,preventive_measures,organic_solutions,soil_management,irrigation_advice,nutrition_management,season_timing,firestore_tags
Grape,Healthy,Healthy,None,No symptoms - plant is healthy,Preventive program: Mancozeb + Metalaxyl from bud break; copper sprays in dormant season; systemic fungicides post-bloom; insecticide rotations,Trichoderma root treatments; Bacillus subtilis foliar preventives; mycorrhizal inoculants; compost tea applications,Annual pruning to maintain vine structure; shoot positioning for light exposure; bunch thinning; canopy management; weed control,Integrated pest management calendar; regular scouting; maintain spray records; use disease-indexed planting material,Sulfur sprays from bud break; copper dormant sprays; kaolin clay at bunch closure; neem oil schedule,pH 6.0-6.5; deep well-drained soil; organic matter; cover crops between rows,Drip irrigation 20-40L/vine/week; deficit irrigation post-veraison for berry quality,Balanced NPK + micronutrients; leaf tissue analysis annually; magnesium for chlorophyll; boron for berry set,Year-round management from dormancy through harvest; post-harvest nutrition important,"grape,healthy,preventive,maintenance"
Orange,Haunglongbing (Citrus Greening / HLB),Diseased,Candidatus Liberibacter asiaticus (bacteria) transmitted by Asian Citrus Psyllid,"Blotchy mottle (asymmetric yellow-green mottling on leaves); lopsided, bitter, green fruit at harvest; inverted color (green near stem when ripe); zinc deficiency-like leaf symptoms; small fruit with aborted seeds",No cure exists; control vector (psyllid): Imidacloprid soil drench; Spirotetramat; Thiamethoxam; Chlorpyrifos + Cypermethrin; Dimethoate sprays; thermotherapy (heat treatment at 40-42°C for 30 min experimental),"Tamarixia radiata (parasitoid wasp) for psyllid biocontrol; Entomopathogenic fungi (Beauveria bassiana, Isaria fumosorosea) for psyllid; Bacillus pumilus for plant health support; antimicrobial bactericides (thermotherapy + nutrient injection research ongoing)",Remove and destroy infected trees immediately to prevent spread; use certified disease-free nursery stock only; strict psyllid vector management; establish new orchards away from infected areas; use reflective mulches to confuse psyllids,Plant HLB-free certified budwood; inspect nursery plants before planting; establish psyllid exclusion nets in nurseries; implement psyllid monitoring (yellow sticky traps); use quarantine practices; mandatory reporting in regulated zones,Neem oil + neem cake for psyllid suppression; orange oil spray for psyllid contact kill; pyrethrin-based insecticides; kaolin clay repels psyllids; garlic + pepper extract sprays; thermotherapy (experimental),Maintain optimal nutrition to slow disease progression; pH 6.0-7.0; good drainage; organic matter supplements for tree health,Maintain consistent soil moisture; drip irrigation preferred; avoid water stress which accelerates symptom expression,"Aggressive nutritional program to extend productive life: weekly foliar micronutrient sprays (Zn, Mn, B, Fe, Cu); high potassium fertilization; trunk injections of tetracycline + zinc (where permitted) to suppress bacteria; foliar potassium phosphite",Vector management year-round; peak psyllid activity during flush periods; remove trees at first confirmed diagnosis,"orange,citrus_greening,HLB,bacterial,psyllid,quarantine_disease"
Peach,Bacterial Spot,Diseased,Xanthomonas arboricola pv. pruni (bacteria),"Water-soaked spots on leaves becoming angular, brown-purple lesions with yellow halos; shot-hole appearance; sunken spots on fruit; cankers on twigs; fruit cracking",Copper hydroxide (0.3%); Copper oxychloride; Oxytetracycline (where permitted) post-bloom; Kasugamycin; apply copper sprays in fall and early spring; post-bloom bactericides every 7 days,Bacillus subtilis (Serenade) foliar sprays; Bacillus amyloliquefaciens; antagonistic bacteria sprays; copper + biological combinations,"Plant resistant varieties (Contender, Redhaven, Reliance); prune infected twigs 15cm below lesions; remove infected fruit; improve air circulation; avoid wounding",Apply copper bactericides from shuck fall; avoid overhead irrigation; plant in well-ventilated sites; use windbreaks to reduce leaf damage; scout after hailstorms,Copper-based bactericides; Bordeaux mixture; Bacillus-based biocontrol; seaweed extract for plant immunity,Well-drained soil; pH 6.0-6.5; avoid waterlogging; mulch to reduce splash,Drip irrigation only; avoid all overhead watering which spreads bacteria,Balanced NPK; avoid excess nitrogen late season; calcium sprays reduce infection; silicon for cell wall strength,Most critical: from petal fall through early summer; apply bactericides after every rain event,"peach,bacterial_spot,xanthomonas,bacterial,foliar,fruit"
Peach,Healthy,Healthy,None,No symptoms - plant is healthy,Dormant spray: lime sulfur + oil; petal fall copper spray; cover sprays with Captan or Mancozeb; insecticide for Oriental fruit moth and Peach twig borer,Bacillus subtilis preventive program; mycorrhizal root inoculants; pheromone traps for moth monitoring; beneficial insect habitat,Annual pruning (open center system); fruit thinning to 15-20cm spacing; weed management; remove diseased material promptly,"Full spray calendar from dormancy through harvest; monitor for brown rot, scab, bacterial spot; post-harvest copper application; winter cleaning",Copper dormant sprays; kaolin clay for insect management; neem oil preventive program; pheromone traps,pH 6.0-6.5; well-drained loam; organic matter 3-4%; annual compost,Drip irrigation 30-50L/tree/week; carefully manage at fruit ripening; reduce 2-3 weeks before harvest,N 50-80kg/ha split; K for fruit quality; Ca foliar sprays; annual soil and leaf tissue analysis,Year-round management; dormant season care critical; post-harvest nutrition for reserves,"peach,healthy,preventive,maintenance"
Pepper (Bell),Bacterial Spot,Diseased,"Xanthomonas euvesicatoria, X. vesicatoria, X. perforans, X. gardneri (bacteria)",Water-soaked spots on leaves becoming brown with yellow halos; scab-like raised spots on fruit; shot-hole in severe cases; defoliation; yield loss,Copper hydroxide (0.3%); Copper oxychloride; Mancozeb + Copper combination; Oxytetracycline (where permitted); spray every 5-7 days during wet weather; tank-mix copper with Mancozeb,"Bacillus subtilis (Serenade); Bacillus amyloliquefaciens; Lysobacter enzymogenes; phage-based biocontrol (Agriphage); seed treatment with hot water (50°C, 25 min)","Use certified disease-free seed; hot water seed treatment; resistant varieties (Revolution, Aristotle, Declaration); crop rotation 2-3 years; avoid overhead irrigation; stake and tie plants for air circulation",Start copper sprays at transplanting; increase frequency during rain; avoid working in wet fields (spreads bacteria); use drip irrigation; windbreaks to reduce spread,Copper-based bactericides; Bordeaux mixture; hot water seed treatment; Bacillus biocontrol; hydrogen peroxide foliage sprays,Well-drained soil; raised beds for drainage; pH 6.0-7.0; avoid compaction,Drip irrigation essential; never use sprinklers; irrigate in morning,Balanced NPK; avoid excess nitrogen; calcium for cell wall integrity; potassium for disease resistance,"Most severe in warm, wet weather; critical from transplanting through fruit set","pepper,bacterial_spot,xanthomonas,bacterial,foliar,fruit"
Pepper (Bell),Healthy,Healthy,None,No symptoms - plant is healthy,Preventive copper sprays at transplanting; Mancozeb for fungal prevention; insecticide for aphid and thrips control (they transmit viruses),Bacillus subtilis preventive program; Trichoderma root inoculants; beneficial insects (Aphidoletes for aphid control); neem oil preventive schedule,Certified disease-free transplants; crop rotation 3 years; weed management; staking; removal of yellow/infected leaves; proper spacing 45-60cm,Scout weekly for pests and disease; reflective mulch to repel aphids; use insect exclusion nets; maintain healthy plants through proper nutrition,Neem oil preventive sprays; reflective mulch; kaolin clay; compost mulch; seaweed foliar sprays for immunity,pH 6.0-7.0; raised beds; compost incorporation; well-drained loam,Drip irrigation; consistent moisture; 25-40mm/week; mulch to retain moisture,N: 100-150kg/ha split; P: 50-80kg/ha; K: 100-150kg/ha; Ca and Mg foliar; boron at flowering,Critical establishment period (first 4 weeks); virus risk highest when aphid populations peak,"pepper,healthy,preventive,maintenance"
Potato,Early Blight,Diseased,Alternaria solani (fungus),"Dark brown to black concentric ring lesions (target board appearance) on older leaves; yellow halo around lesions; lower leaves affected first; tuber surface lesions (dark, sunken, corky)",Mancozeb (0.25%); Chlorothalonil; Azoxystrobin; Difenoconazole; Iprodione; Boscalid; spray every 7-10 days from first symptoms; alternate FRAC groups to prevent resistance,Bacillus subtilis (Serenade); Trichoderma viride; Streptomyces lydicus; neem oil + karanja oil mixture; compost extract sprays,Certified disease-free seed tubers; crop rotation 3 years; destroy volunteer potatoes; remove infected leaves; hill up plants to protect tubers; harvest at proper maturity,Preventive fungicide at 45 days after emergence (DAE); avoid nitrogen deficiency; plant early maturing varieties; scout from V4 stage,Copper hydroxide; Bordeaux mixture; sulfur-copper mixtures; neem oil (3ml/L); Bacillus-based products,pH 5.5-6.5; well-drained; avoid waterlogging; hilling to protect tubers from infection,Avoid overhead irrigation if possible; furrow or drip irrigation; avoid wetting foliage; irrigate in morning,Avoid nitrogen deficiency (predisposes to early blight); balanced NPK; potassium for disease resistance; calcium for tuber quality,Most severe after canopy closure; spray from 40-45 DAE through vine kill,"potato,early_blight,alternaria,fungal,foliar,tuber"
Potato,Late Blight,Diseased,Phytophthora infestans (oomycete - water mold),Water-soaked pale green lesions on leaves rapidly turning brown-black; white fluffy sporulation on leaf underside; entire plant can collapse in 7-10 days; brown rot inside tubers; foul smell,Metalaxyl + Mancozeb (Ridomil Gold); Cymoxanil + Mancozeb; Dimethomorph + Mancozeb; Propamocarb; Mandipropamid; Ametoctradin; spray every 5-7 days during wet weather; NEVER use mefenoxam alone (resistance common),Bacillus subtilis (Serenade Opti); Pseudomonas fluorescens; Trichoderma viride; copper + Bacillus combinations; Biocontrol effective only in preventive use,"Certified disease-free seed; destroy cull piles (major inoculum source); plant resistant varieties (Sarpo Mira, Defender, Jacqueline Lee); hill up to protect tubers; harvest once vines dead; cure harvested tubers","Use Blight Advisory Systems (BlightPro, NegFry, Prophy) for spray timing; preventive sprays before infection period; use pathogen-free certified seed; strict sanitation",Copper hydroxide (0.3%); Bordeaux mixture (1-2%); copper oxychloride; fixed copper sprays every 5-7 days; fosetyl-aluminum (where certified organic),Well-drained soil essential; ridge up high to protect tubers; avoid compaction; good tilth,Avoid overhead irrigation; furrow irrigation; minimize leaf wetness; avoid late evening irrigation,Adequate potassium (150-200kg/ha) for disease resistance; avoid excess nitrogen; calcium for tuber skin integrity; phosphonate applications may help,Can develop any time; most severe when temperature 10-25°C with >90% humidity for 2+ days (Blight Period); emergency sprays within 24h of blight period,"potato,late_blight,phytophthora,oomycete,foliar,tuber,emergency"
Potato,Healthy,Healthy,None,No symptoms - plant is healthy,Preventive late blight program: Mancozeb from 45 DAE; scheduled sprays on 7-day calendar; seed treatment with Thiram + Metalaxyl; nematicide application if nematode history,Trichoderma + Pseudomonas seed treatment; mycorrhizal inoculants for root health; Bacillus subtilis preventive foliar; compost soil amendment,Certified disease-free seed potatoes; crop rotation 3-4 years; volunteer potato control; hilling at 30 and 50 DAE; timely harvest; proper curing,Blight advisory system monitoring; weekly field scouting; soil temperature monitoring for Rhizoctonia; aphid monitoring for virus transmission,Copper sprays preventive schedule; Trichoderma seed treatment; seaweed bio-stimulant; neem cake soil application,pH 5.5-6.5; well-drained loam; deep tillage; organic matter 3-4%; avoid soil compaction,30-35mm/week; critical at tuber initiation and bulking; reduce before harvest; furrow irrigation preferred,N: 120-150kg/ha; P: 80-100kg/ha; K: 150-200kg/ha; Mg: 20-30kg/ha; B: 1-2kg/ha; Ca for tuber quality,Year-round management; off-season: select and store good seed; in-season: spray program from emergence,"potato,healthy,preventive,maintenance"
Raspberry,Healthy,Healthy,None,No symptoms - plant is healthy,Dormant copper sprays for cane disease prevention; Captan/Thiram for gray mold at bloom; miticide for spider mite prevention; insecticide for raspberry beetle,Bacillus subtilis foliar preventive; Trichoderma for root health; Beauveria bassiana for insect pest control; mycorrhizal inoculants at planting,Remove spent floricanes after harvest; thin primocanes to 5-6/linear ft; tie canes to trellis; weed control; fall renovation of hedgerows; remove diseased canes immediately,"Scout for raspberry bushy dwarf virus, cane blight, spur blight; monitor for SWD from pre-harvest; cover with exclusion netting; aphid control for virus prevention",Copper hydroxide dormant; sulfur sprays for cane diseases; neem oil preventive; kaolin clay for SWD; Spinosad for raspberry beetle,pH 5.5-6.5; excellent drainage (raised beds if needed); organic matter 4-5%; annual compost; avoid clay soils,Drip irrigation essential; 30-40mm/week; critical at fruit swell; avoid wetting canes,N: 50-70kg/ha in spring only; K: 100-150kg/ha; Mg: 15-20kg/ha; annual soil and tissue test; iron chelate if pH high,Year-round cane management; fall: remove spent canes; spring: tie and train; summer: SWD monitoring critical,"raspberry,healthy,preventive,maintenance"
Soybean,Healthy,Healthy,None,No symptoms - plant is healthy,"Seed treatment: fungicide (Metalaxyl + Fludioxonil) + insecticide (Imidacloprid); foliar fungicide at R1-R3 if warranted (Azoxystrobin, Propiconazole); herbicides per weed pressure",Bradyrhizobium japonicum inoculant (CRITICAL for N fixation); Trichoderma seed treatment; mycorrhizal inoculants; biocontrol for soybean aphid,"Crop rotation (corn-soybean-wheat); certified disease-free seed; proper plant population (300,000-350,000/ha); timely planting; weed management; proper inoculation",Scout for soybean rust (from R1 stage); monitor for SCN and SDS in history fields; aphid monitoring from V2; use SCN-resistant varieties where applicable,Bradyrhizobium inoculant; neem oil for aphid; compost application; cover crops for soil health; Beauveria for aphid biocontrol,pH 6.0-7.0; well-drained; avoid compaction; 3-4% organic matter; no-till or minimum tillage benefits,Rainfed mostly; supplemental irrigation at R1 (flowering) and R5 (seed fill) if dry; 25-40mm/week at critical stages,Rhizobium provides N; P: 40-60kg/ha; K: 60-80kg/ha; S: 20-25kg/ha; B: 1-2kg/ha; Zn if deficient; foliar micronutrients at V4,Inoculate at planting; scout from emergence; fungicide decision at R1-R3; harvest at R7-R8,"soybean,healthy,preventive,maintenance,rhizobium"
Squash,Powdery Mildew,Diseased,"Podosphaera xanthii, Erysiphe cichoracearum (fungi)",White powdery fungal patches on upper and lower leaf surfaces; yellowing of infected leaves; premature defoliation; reduced fruit size and yield,Myclobutanil; Azoxystrobin; Trifloxystrobin; Potassium bicarbonate; Sulfur (not above 32°C); Quinoxyfen; apply every 7-10 days; alternate FRAC groups,Bacillus subtilis (Serenade); Ampelomyces quisqualis (AQ10); Trichoderma-based products; milk spray (10% skim milk weekly); neem oil (3ml/L),"Plant resistant varieties (Dunja, Esteem, Camille); remove heavily infected leaves; improve plant spacing for air circulation; avoid overhead irrigation; grow in full sun","Scout from 4 weeks after transplanting; apply preventive sprays when weather favors disease (hot days, cool nights); avoid excess nitrogen fertilization",Potassium bicarbonate (5g/L); baking soda (5g/L + horticultural oil 1ml/L); sulfur dust; neem oil; milk spray; copper soap,Well-drained soil; avoid waterlogging; mulch to maintain soil moisture,Drip irrigation at base of plant; never wet foliage; morning irrigation if overhead necessary,Avoid excess nitrogen (promotes susceptible succulent growth); balanced NPK; silicon (1-2g/L foliar) improves resistance significantly,Most severe in mid-to-late season; hot dry days + cool humid nights favor infection; spray from first signs,"squash,powdery_mildew,fungal,foliar,cucurbit"
